City,Latitude,Longitude
Dana Point,-117.6981075,33.4669721
Danville,-121.9999606,37.8215929
Dardanelle,-119.8337902,38.3410234
Darrington,-121.6015142,48.2553867
Darwin,-117.5917348,36.2679969
Davenport,-122.1919133,37.0116165
Davis,-121.7405167,38.5449065
Days Creek,-123.1722829,42.9723408
Dayton,-119.5929521,39.2371353
Dayville,-119.5358104,44.4682007
Deadhorse,-148.5116667,70.2055556
Dee,-121.6267416,45.5881729
Deep Creek,-117.7121653,47.6429426
Deep River,-123.6851455,46.3484392
Deep Springs,-117.9850939,37.3715981
Deer Island,-122.8437164,45.9312252
Deer Park,-117.476891,47.9543375
Deering,-162.7172222,66.0755556
Deeth,-115.2747787,41.065476
Del Dios,-117.1191997,33.0728195
Del Mar,-117.2653146,32.9594891
Del Monte Forest,-121.9474558,36.5863492
Del Rey,-119.593744,36.6591171
Del Rey Oaks,-121.8349515,36.5932934
Del Rosa,-117.243375,34.148899
Delano,-119.2470536,35.7688425
Delevan,-122.1910897,39.3540526
Delft Colony,-119.4459569,36.5118952
Delhi,-120.7785354,37.4321589
Delleker,-120.4979932,39.8087896
